source,id_mrn,id_zhulab,name,formula,consensus_name,full_name,abbr,note,date
BioLib,,B000601,Heptanoylcarnitine (Car(7:0)_RT288),,Acylcarnitine C7:0,Heptanoylcarnitine,CAR 7:0,Acylcarnitines,20240724
BioLib,,B000801,Nonanoylcarnitine (Car(9:0)_RT346),,Acylcarnitine C9:0,Nonanoylcarnitine,CAR 9:0,Acylcarnitines,20240724
BioLib,,B000802,Nonanoylcarnitine (Car(9:0)_RT362),,Acylcarnitine C9:0,Nonanoylcarnitine,CAR 9:0,Acylcarnitines,20240724
BioLib,,B001001,Undecanoylcarnitine (Car(11:0)_RT390),,Acylcarnitine C11:0,Undecanoylcarnitine,CAR 11:0,Acylcarnitines,20240724
BioLib,,B001002,Undecanoylcarnitine (Car(11:0)_RT408),,Acylcarnitine C11:0,Undecanoylcarnitine,CAR 11:0,Acylcarnitines,20240724
BioLib,,B001201,Tridecanoylcarnitine (Car(13:0)_RT433),,Acylcarnitine C13:0,Tridecanoylcarnitine,CAR 13:0,Acylcarnitines,20240724
BioLib,,B001202,Tridecanoylcarnitine (Car(13:0)_RT448),,Acylcarnitine C13:0,Tridecanoylcarnitine,CAR 13:0,Acylcarnitines,20240724
BioLib,,B001401,Pentadecanoylcarnitine (Car(15:0)_RT486),,Acylcarnitine C15:0,Pentadecanoylcarnitine,CAR 15:0,Acylcarnitines,20240724
BioLib,,B001801,Nonadecanoylcarnitine (Car(19:0)_RT554),,Acylcarnitine C19:0,Nonadecanoylcarnitine,CAR 19:0,Acylcarnitines,20240724
BioLib,,B004201,Hexenoylcarnitine (Car(6:1)_RT234),,Acylcarnitine C6:1,Hexenoylcarnitine,CAR 6:1,Acylcarnitines,20240724
BioLib,,B004202,Hexenoylcarnitine (Car(6:1)_RT239),,Acylcarnitine C6:1,Hexenoylcarnitine,CAR 6:1,Acylcarnitines,20240724
BioLib,,B004301,Heptenoylcarnitine (Car(7:1)_RT257),,Acylcarnitine C7:1,Heptenoylcarnitine,CAR 7:1,Acylcarnitines,20240724
BioLib,,B004302,Heptenoylcarnitine (Car(7:1)_RT277),,Acylcarnitine C7:1,Heptenoylcarnitine,CAR 7:1,Acylcarnitines,20240724
BioLib,,B004303,Heptenoylcarnitine (Car(7:1)_RT273),,Acylcarnitine C7:1,Heptenoylcarnitine,CAR 7:1,Acylcarnitines,20240724
BioLib,,B004401,Octenoylcarnitine (Car(8:1)_RT300),,Acylcarnitine C8:1,Octenoylcarnitine,CAR 8:1,Acylcarnitines,20240724
BioLib,,B004402,Octenoylcarnitine (Car(8:1)_RT329),,Acylcarnitine C8:1,Octenoylcarnitine,CAR 8:1,Acylcarnitines,20240724
